Start,End, 11  car , 11  truck , 11  motorbike , 11  van , 11  bus , 12  car , 12  truck , 12  motorbike , 12  van , 12  bus , 13  car , 13  truck , 13  motorbike , 13  van , 13  bus , 14  car , 14  truck , 14  motorbike , 14  van , 14  bus , 21  car , 21  truck , 21  motorbike , 21  van , 21  bus , 22  car , 22  truck , 22  motorbike , 22  van , 22  bus , 23  car , 23  truck , 23  motorbike , 23  van , 23  bus , 31  car , 31  truck , 31  motorbike , 31  van , 31  bus , 32  car , 32  truck , 32  motorbike , 32  van , 32  bus , 33  car , 33  truck , 33  motorbike , 33  van , 33  bus ,1EW,2EW,2WS,2SN,3SN,3WN
00:00:00,00:15:00,33,5,0,0,2,23,2,0,0,0,7,2,0,0,0,14,2,0,0,0,2,6,0,0,0,12,13,0,0,0,11,0,0,0,0,40,4,0,0,0,31,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
00:15:00,00:30:00,30,1,0,0,2,18,1,0,0,0,9,4,0,0,0,7,0,0,0,0,0,8,0,0,0,8,6,0,0,0,7,3,0,0,0,37,4,0,0,0,24,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
00:30:00,00:45:00,22,3,0,0,0,9,3,0,0,0,10,4,0,0,0,9,1,0,0,0,0,12,0,0,0,6,9,0,0,0,2,0,0,0,0,34,5,0,0,1,16,2,0,0,1,14,3,0,0,0,0,0,0,0,0,0
00:45:00,01:00:00,19,4,0,0,1,5,2,0,0,0,8,2,0,0,0,6,5,0,0,0,1,3,0,0,0,7,3,0,0,1,5,0,0,0,0,33,1,0,0,1,21,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0
01:00:00,01:15:00,8,3,0,0,0,3,1,0,0,0,5,3,0,0,0,6,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,17,2,0,0,0,8,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
01:15:00,01:30:00,3,1,0,0,0,2,0,0,0,0,3,4,0,0,1,8,2,0,0,0,0,2,0,0,0,4,2,0,0,0,9,1,0,0,0,19,2,0,0,1,17,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0
01:30:00,01:45:00,7,2,0,0,0,4,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,2,0,0,0,7,5,0,0,1,5,1,0,0,0,17,3,0,0,0,13,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
01:45:00,02:00:00,6,0,0,0,0,7,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,2,0,0,0,4,7,0,0,0,4,0,0,0,0,12,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02:00:00,02:15:00,5,0,0,0,2,6,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,3,0,0,0,2,4,0,0,1,2,1,0,0,0,16,2,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
02:15:00,02:30:00,9,2,0,0,1,3,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,0,0,0,1,0,0,0,0,9,3,0,0,2,3,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0
